country,dystopia_residual,family,freedom,gdp_per_capita,generosity,government_corruption,life_expectancy,lower_confidence_interval,rank,region,score,social_support,standard_error,upper_confidence_interval,whiskerhigh,whiskerlow
Armenia,1.97864,0.62477,0.14037,0.86086,0.07793,0.03616,0.64083,4.266,121,Central and Eastern Europe,4.36,,,4.454,,
Kenya,1.88326,0.7624,0.40576,0.52267,0.41328,0.06686,0.30147,4.259,122,Sub-Saharan Africa,4.356,,,4.453,,
Ukraine,1.50066,1.01413,0.12859,0.87287,0.20363,0.01829,0.58628,4.236,123,Central and Eastern Europe,4.324,,,4.412,,
Ghana,2.2002,0.49353,0.40973,0.63107,0.21203,0.0326,0.29681,4.185,124,Sub-Saharan Africa,4.276,,,4.367,,
Congo (Kinshasa),2.74924,0.80676,0.15602,0.05661,0.25458,0.06075,0.188,4.191,125,Sub-Saharan Africa,4.272,,,4.353,,
Georgia,1.87031,0.19249,0.32461,0.83792,0.06786,0.3188,0.64035,4.164,126,Central and Eastern Europe,4.252,,,4.34,,
Congo (Brazzaville),2.10681,0.47799,0.37938,0.77109,0.12077,0.09753,0.28212,4.107,127,Sub-Saharan Africa,4.236,,,4.365,,
Senegal,1.97861,0.77416,0.31056,0.44314,0.19103,0.11681,0.40457,4.151,128,Sub-Saharan Africa,4.219,,,4.287,,
Bulgaria,1.15377,0.92542,0.21219,1.11306,0.12793,0.00615,0.67806,4.104,129,Central and Eastern Europe,4.217,,,4.33,,
Mauritania,1.9263,0.84142,0.1268,0.61391,0.22686,0.17955,0.28639,4.127,130,Sub-Saharan Africa,4.201,,,4.275,,
Zimbabwe,2.4427,0.71478,0.25429,0.35041,0.18503,0.08582,0.1595,4.101,131,Sub-Saharan Africa,4.193,,,4.285,,
Malawi,2.82859,0.147,0.4143,0.08709,0.30968,0.07564,0.29364,4.041,132,Sub-Saharan Africa,4.156,,,4.271,,
Sudan,2.10995,0.81928,0.0,0.63069,0.18077,0.10039,0.29759,3.928,133,Sub-Saharan Africa,4.139,,,4.35,,
Gabon,1.45332,0.72368,0.28098,1.15851,0.06244,0.09314,0.3494,4.03,134,Sub-Saharan Africa,4.121,,,4.212,,
Mali,2.11087,0.86333,0.27544,0.31292,0.21064,0.13647,0.16347,3.988,135,Sub-Saharan Africa,4.073,,,4.158,,
Haiti,2.37116,0.29561,0.12072,0.34097,0.47958,0.14476,0.27494,3.893,136,Latin America and Caribbean,4.028,,,4.163,,
Botswana,0.96741,0.89186,0.44089,1.09426,0.12425,0.10769,0.34752,3.875,137,Sub-Saharan Africa,3.974,,,4.073,,
Comoros,2.25632,0.60323,0.15412,0.27509,0.1827,0.18437,0.29981,3.86,138,Sub-Saharan Africa,3.956,,,4.052,,
Ivory Coast,1.97478,0.57576,0.40663,0.55507,0.20338,0.1553,0.04476,3.826,139,Sub-Saharan Africa,3.916,,,4.006,,
Cambodia,1.31573,0.5375,0.58852,0.55604,0.40339,0.08092,0.42494,3.798,140,Southeastern Asia,3.907,,,4.016,,
Angola,2.09459,0.66366,0.00589,0.84731,0.12071,0.08434,0.04991,3.753,141,Sub-Saharan Africa,3.866,,,3.979,,
Niger,2.09469,0.6053,0.38041,0.1327,0.2097,0.17176,0.26162,3.781,142,Sub-Saharan Africa,3.856,,,3.931,,
South Sudan,2.50929,0.18519,0.19662,0.39394,0.25899,0.13015,0.15781,3.596,143,Sub-Saharan Africa,3.832,,,4.068,,
Chad,2.30637,0.63178,0.12807,0.42214,0.18667,0.04952,0.03824,3.672,144,Sub-Saharan Africa,3.763,,,3.854,,
Burkina Faso,1.87319,0.63054,0.3337,0.31995,0.24353,0.12533,0.21297,3.647,145,Sub-Saharan Africa,3.739,,,3.831,,
Uganda,1.51416,0.90981,0.43653,0.34719,0.27102,0.06442,0.19625,3.629,145,Sub-Saharan Africa,3.739,,,3.849,,
Yemen,1.97295,0.47493,0.2287,0.57939,0.09821,0.05892,0.31048,3.621,147,Middle East and Northern Africa,3.724,,,3.827,,
Madagascar,2.15075,0.46115,0.13684,0.27954,0.2204,0.07506,0.37109,3.621,148,Sub-Saharan Africa,3.695,,,3.769,,
Tanzania,1.37769,0.77623,0.3176,0.47155,0.31472,0.05099,0.357,3.561,149,Sub-Saharan Africa,3.666,,,3.771,,
Liberia,2.23284,0.50353,0.25748,0.10706,0.24063,0.04852,0.23165,3.463,150,Sub-Saharan Africa,3.622,,,3.781,,
Guinea,2.15604,0.3109,0.30953,0.22415,0.29914,0.1192,0.18829,3.533,151,Sub-Saharan Africa,3.607,,,3.681,,
Rwanda,0.96819,0.61586,0.5432,0.32846,0.23552,0.50521,0.31865,3.444,152,Sub-Saharan Africa,3.515,,,3.586,,
Benin,2.10812,0.10419,0.39747,0.39499,0.2018,0.06681,0.21028,3.404,153,Sub-Saharan Africa,3.484,,,3.564,,
Afghanistan,2.14558,0.11037,0.1643,0.38227,0.31268,0.07112,0.17344,3.288,154,Southern Asia,3.36,,,3.432,,
Togo,2.1354,0.0,0.34678,0.28123,0.17517,0.11587,0.24811,3.192,155,Sub-Saharan Africa,3.303,,,3.414,,
Syria,0.81789,0.14866,0.06912,0.74719,0.48397,0.17233,0.62994,2.936,156,Middle East and Northern Africa,3.069,,,3.202,,
Burundi,2.10404,0.23442,0.0432,0.06831,0.2029,0.09419,0.15747,2.732,157,Sub-Saharan Africa,2.905,,,3.078,,
Norway,2.27702665328979,1.53352355957031,0.635422587394714,1.61646318435669,0.36201223731041,0.315963834524155,0.796666502952576,,1,,7.53700017929077,,,,7.59444482058287,7.47955553799868
Denmark,2.31370735168457,1.55112159252167,0.626006722450256,1.48238301277161,0.355280488729477,0.40077006816864,0.792565524578094,,2,,7.52199983596802,,,,7.58172806486487,7.46227160707116
Iceland,2.32271528244019,1.6105740070343,0.627162635326385,1.480633020401,0.475540220737457,0.153526559472084,0.833552122116089,,3,,7.50400018692017,,,,7.62203047305346,7.38596990078688
Switzerland,2.2767162322998,1.51691174507141,0.620070576667786,1.56497955322266,0.290549278259277,0.367007285356522,0.858131289482117,,4,,7.49399995803833,,,,7.56177242040634,7.42622749567032
Finland,2.4301815032959,1.5402467250824,0.617950856685638,1.44357192516327,0.24548277258873,0.38261154294014,0.80915766954422,,5,,7.4689998626709,,,,7.52754207581282,7.41045764952898
Netherlands,2.29480409622192,1.42893922328949,0.585384488105774,1.50394463539124,0.470489829778671,0.282661825418472,0.810696125030518,,6,,7.3769998550415,,,,7.42742584124207,7.32657386884093
Canada,2.18726444244385,1.48134899139404,0.611100912094116,1.47920441627502,0.435539722442627,0.287371516227722,0.83455765247345,,7,,7.31599998474121,,,,7.38440283536911,7.24759713411331
New Zealand,2.0464563369751,1.54819512367249,0.614062130451202,1.40570604801178,0.500005125999451,0.382816702127457,0.816759705543518,,8,,7.31400012969971,,,,7.3795104418695,7.24848981752992
Sweden,2.09753799438477,1.47816216945648,0.612924098968506,1.49438726902008,0.385399252176285,0.384398728609085,0.830875158309937,,9,,7.28399991989136,,,,7.34409487739205,7.22390496239066
Australia,2.06521081924438,1.51004195213318,0.601607382297516,1.484414935112,0.477699249982834,0.301183730363846,0.84388679265976,,10,,7.28399991989136,,,,7.35665122494102,7.2113486148417
Israel,2.80175733566284,1.37628996372223,0.405988603830338,1.37538242340088,0.330082654953003,0.0852421000599861,0.83840399980545,,11,,7.21299982070923,,,,7.27985325649381,7.14614638492465
Costa Rica,2.89863920211792,1.41640365123749,0.580131649971008,1.10970628261566,0.214613229036331,0.100106589496136,0.759509265422821,,12,,7.0789999961853,,,,7.16811166629195,6.98988832607865
Austria,2.1385064125061,1.4599449634552,0.567766189575195,1.48709726333618,0.316472321748734,0.221060365438461,0.815328419208527,,13,,7.00600004196167,,,,7.07066981211305,6.94133027181029
United States,2.2181134223938,1.41992056369781,0.505740523338318,1.54625928401947,0.392578780651093,0.135638788342476,0.77428662776947,,14,,6.99300003051758,,,,7.07465674757957,6.91134331345558
Ireland,1.77386903762817,1.55823111534119,0.573110342025757,1.53570663928986,0.42785832285881,0.29838815331459,0.80978262424469,,15,,6.97700023651123,,,,7.04335166752338,6.91064880549908
Germany,2.01576995849609,1.47252035140991,0.562511384487152,1.48792338371277,0.336269170045853,0.276731938123703,0.798950731754303,,16,,6.95100021362305,,,,7.00538156926632,6.89661885797977
Belgium,2.12421035766602,1.46231269836426,0.539770722389221,1.46378076076508,0.231503337621689,0.251343131065369,0.818091869354248,,17,,6.89099979400635,,,,6.95582075044513,6.82617883756757
Luxembourg,1.61951208114624,1.45758366584778,0.59662789106369,1.74194359779358,0.283180981874466,0.31883442401886,0.845089495182037,,18,,6.86299991607666,,,,6.92368609987199,6.80231373228133
United Kingdom,1.70414352416992,1.49646008014679,0.508190035820007,1.44163393974304,0.492774158716202,0.265428066253662,0.805335938930511,,19,,6.71400022506714,,,,6.78379176110029,6.64420868903399
Chile,2.50958585739136,1.28402495384216,0.376895278692245,1.25278460979462,0.326662421226501,0.0822879821062088,0.819479703903198,,20,,6.65199995040894,,,,6.73925056010485,6.56474934071302
United Arab Emirates,1.734703540802,1.26641023159027,0.60834527015686,1.62634336948395,0.3609419465065,0.324489563703537,0.726798236370087,,21,,6.64799976348877,,,,6.72204730376601,6.57395222321153
Brazil,2.76926708221436,1.43130600452423,0.437453746795654,1.10735321044922,0.16234989464283,0.111092761158943,0.616552352905273,,22,,6.63500022888184,,,,6.72546950161457,6.5445309561491
Czech Republic,2.45186185836792,1.43388521671295,0.490946173667908,1.35268235206604,0.0881067588925362,0.0368729270994663,0.754444003105164,,23,,6.60900020599365,,,,6.68386246263981,6.5341379493475
Argentina,2.61400532722473,1.44045114517212,0.494519203901291,1.18529546260834,0.109457060694695,0.059739887714386,0.695137083530426,,24,,6.59899997711182,,,,6.69008508607745,6.50791486814618
Mexico,2.83715486526489,1.210862159729,0.412730008363724,1.15318381786346,0.120990432798862,0.132774114608765,0.709978997707367,,25,,6.57800006866455,,,,6.67114890769124,6.48485122963786
Singapore,1.21636199951172,1.35381436347961,0.549840569496155,1.69227766990662,0.345965981483459,0.46430778503418,0.949492394924164,,26,,6.57200002670288,,,,6.63672306910157,6.50727698430419
Malta,1.55686283111572,1.48841166496277,0.588767051696777,1.34327983856201,0.574730575084686,0.153066068887711,0.821944236755371,,27,,6.52699995040894,,,,6.59839677289128,6.45560312792659
Uruguay,2.17240953445435,1.41222786903381,0.57939225435257,1.21755969524384,0.175096929073334,0.178061872720718,0.719216823577881,,28,,6.4539999961853,,,,6.54590621769428,6.36209377467632
Guatemala,2.89389109611511,1.25558519363403,0.531310617923737,0.872001945972443,0.283488392829895,0.0772232785820961,0.540239989757538,,29,,6.4539999961853,,,,6.56687397271395,6.34112601965666
Panama,2.30719995498657,1.37319254875183,0.550026834011078,1.23374843597412,0.21055693924427,0.070983923971653,0.706156134605408,,30,,6.4520001411438,,,,6.55713071614504,6.34686956614256
France,2.00595474243164,1.38777685165405,0.470222115516663,1.43092346191406,0.129762306809425,0.172502428293228,0.844465851783752,,31,,6.44199991226196,,,,6.51576780244708,6.36823202207685
Thailand,2.03950834274292,1.42579245567322,0.580200731754303,1.12786877155304,0.572123110294342,0.0316127352416515,0.647239029407501,,32,,6.42399978637695,,,,6.50911685571074,6.33888271704316
Taiwan Province of China,2.1266074180603,1.38456535339355,0.361466586589813,1.43362653255463,0.258360475301743,0.0638292357325554,0.793984234333038,,33,,6.42199993133545,,,,6.49459602192044,6.34940384075046
Spain,1.92775774002075,1.53209090232849,0.408781230449677,1.38439786434174,0.190133571624756,0.0709140971302986,0.888960599899292,,34,,6.40299987792969,,,,6.4710548453033,6.33494491055608
Qatar,1.1454644203186,1.27429687976837,0.604130983352661,1.87076568603516,0.330473870038986,0.439299255609512,0.710098087787628,,35,,6.375,,,,6.56847681432962,6.18152318567038
Colombia,2.61606812477112,1.4021829366684,0.477487415075302,1.07062232494354,0.149014472961426,0.0466687418520451,0.595027923583984,,36,,6.35699987411499,,,,6.45202005416155,6.26197969406843
Saudi Arabia,2.0654296875,1.28667759895325,0.449750572443008,1.53062355518341,0.147616013884544,0.27343225479126,0.590148329734802,,37,,6.3439998626709,,,,6.44416661202908,6.24383311331272
Trinidad and Tobago,2.05324745178223,1.3802285194397,0.518630743026733,1.36135590076447,0.325296461582184,0.0089648161083459,0.519983291625977,,38,,6.16800022125244,,,,6.38153389066458,5.95446655184031
Kuwait,1.64042520523071,1.25969874858856,0.496337592601776,1.63295245170593,0.228289797902107,0.215159550309181,0.632105708122253,,39,,6.10500001907349,,,,6.1919569888711,6.01804304927588
Slovakia,2.09777665138245,1.50505924224854,0.295817464590073,1.32539355754852,0.136544480919838,0.0242108516395092,0.712732911109924,,40,,6.09800004959106,,,,6.1773484121263,6.01865168705583
Bahrain,1.65614938735962,1.32311046123505,0.536746919155121,1.48841226100922,0.172668486833572,0.257042169570923,0.653133034706116,,41,,6.08699989318848,,,,6.17898906782269,5.99501071855426
Malaysia,2.00444889068604,1.28464603424072,0.402264982461929,1.29121541976929,0.416608929634094,0.0656007081270218,0.618784427642822,,42,,6.08400011062622,,,,6.17997963652015,5.98802058473229
Nicaragua,2.51393055915833,1.28721570968628,0.447551846504211,0.737299203872681,0.301674216985703,0.130687981843948,0.653095960617065,,43,,6.07100009918213,,,,6.18658360034227,5.95541659802198
Ecuador,2.29035258293152,1.28616881370544,0.4551981985569,1.00082039833069,0.150112465023994,0.140134647488594,0.685636222362518,,44,,6.00799989700317,,,,6.10584767535329,5.91015211865306
El Salvador,2.7145938873291,1.18212509155273,0.432452529668808,0.909784495830536,0.0782579854130745,0.0899809598922729,0.596018552780151,,45,,6.00299978256226,,,,6.108635122329,5.89736444279552
Poland,1.79772281646729,1.44571197032928,0.520342111587524,1.29178786277771,0.158465966582298,0.0593078061938286,0.699475347995758,,46,,5.97300004959106,,,,6.05390834122896,5.89209175795317
Uzbekistan,1.81691360473633,1.54896914958954,0.658248662948608,0.786441087722778,0.415983647108078,0.246528223156929,0.498272627592087,,47,,5.97100019454956,,,,6.06553757295012,5.876462816149
Italy,1.81331205368042,1.44492328166962,0.256450712680817,1.39506661891937,0.17278964817524,0.0280280914157629,0.853144347667694,,48,,5.96400022506714,,,,6.04273690596223,5.88526354417205
Russia,2.20560741424561,1.46928238868713,0.373783111572266,1.28177809715271,0.0522638224065304,0.0329628810286522,0.547349333763123,,49,,5.96299982070923,,,,6.03027490749955,5.89572473391891
Belize,2.63195562362671,1.08141779899597,0.547509372234344,0.907975316047668,0.240015640854836,0.0965810716152191,0.450191766023636,,50,,5.95599985122681,,,,6.19724231779575,5.71475738465786
Japan,1.36322355270386,1.43633782863617,0.505625545978546,1.41691517829895,0.12057276815176,0.163760736584663,0.913475871086121,,51,,5.92000007629395,,,,5.99071944460273,5.84928070798516
Lithuania,2.22844052314758,1.47351610660553,0.234231784939766,1.31458234786987,0.010164656676352,0.0118656428530812,0.62894994020462,,52,,5.90199995040894,,,,5.98266964137554,5.82133025944233
Algeria,2.56760382652283,1.1462174654007,0.233335807919502,1.09186446666718,0.0694366469979286,0.146096110343933,0.617584645748138,,53,,5.87200021743774,,,,5.97828643366694,5.76571400120854
Latvia,1.99365520477295,1.40471494197845,0.325707912445068,1.26074862480164,0.153074786067009,0.0738427266478539,0.638566970825195,,54,,5.84999990463257,,,,5.92026353821158,5.77973627105355
South Korea,1.88037800788879,1.12827444076538,0.257921665906906,1.40167844295502,0.206674367189407,0.0632826685905457,0.900214076042175,,55,,5.83799982070923,,,,5.92255902826786,5.7534406131506
Moldova,2.80780839920044,1.25182557106018,0.240729048848152,0.728870630264282,0.208779126405716,0.0100912861526012,0.589465200901031,,56,,5.83799982070923,,,,5.90837083846331,5.76762880295515
Romania,2.17683148384094,1.15009129047394,0.457003742456436,1.21768391132355,0.133519917726517,0.00438790069893,0.685158312320709,,57,,5.82499980926514,,,,5.91969415679574,5.73030546173453
Bolivia,2.44327902793884,1.22761905193329,0.558732926845551,0.833756566047668,0.22556072473526,0.0604777261614799,0.473630249500275,,58,,5.82299995422363,,,,5.9039769025147,5.74202300593257
Turkmenistan,1.83290982246399,1.49314916133881,0.41827192902565,1.13077676296234,0.24992498755455,0.259270340204239,0.437726080417633,,59,,5.82200002670288,,,,5.88518087550998,5.75881917789578
Kazakhstan,1.78489255905151,1.38436901569366,0.437454283237457,1.28455626964569,0.201964423060417,0.119282886385918,0.606041550636292,,60,,5.81899976730347,,,,5.90364177465439,5.73435775995255
North Cyprus,1.54915761947632,1.18630337715149,0.471203625202179,1.3469113111496,0.266845703125,0.155353352427483,0.834647238254547,,61,,5.80999994277954,,,,5.89736646488309,5.72263342067599
Slovenia,1.31331729888916,1.45251882076263,0.572575807571411,1.3412059545517,0.242649093270302,0.0451289787888527,0.790828227996826,,62,,5.75799989700317,,,,5.84222516000271,5.67377463400364
Peru,2.20726943016052,1.21877038478851,0.450002878904343,1.03522527217865,0.126819714903831,0.0470490865409374,0.630166113376617,,63,,5.71500015258789,,,,5.81194677859545,5.61805352658033
Mauritius,1.6975839138031,1.20956099033356,0.491247326135635,1.18939554691315,0.360933750867844,0.0421815551817417,0.638007462024689,,64,,5.62900018692017,,,,5.72986219167709,5.52813818216324
Cyprus,1.62124919891357,1.13136327266693,0.355111539363861,1.35593807697296,0.271254301071167,0.0412379764020443,0.84471470117569,,65,,5.62099981307983,,,,5.71469269931316,5.5273069268465
Estonia,1.35750865936279,1.47667109966278,0.479131430387497,1.32087934017181,0.0988908112049103,0.183248922228813,0.695168316364288,,66,,5.61100006103516,,,,5.68813987419009,5.53386024788022
Belarus,1.72323298454285,1.44494521617889,0.295400261878967,1.15655755996704,0.15513750910759,0.156313821673393,0.637714266777039,,67,,5.56899976730347,,,,5.64611424401402,5.49188529059291
Libya,1.83501124382019,1.35756433010101,0.465733230113983,1.10180306434631,0.152073666453362,0.0926102101802826,0.520169019699097,,68,,5.52500009536743,,,,5.67695380687714,5.37304638385773
Turkey,1.87927794456482,1.33775317668915,0.300740599632263,1.19827437400818,0.0466930419206619,0.0996715798974037,0.637605607509613,,69,,5.5,,,,5.59486496329308,5.40513503670692
Paraguay,1.6853334903717,1.50728487968445,0.473507791757584,0.932537317276001,0.224150657653809,0.091065913438797,0.579250693321228,,70,,5.49300003051758,,,,5.57738126963377,5.40861879140139
"Hong Kong S.A.R., China",0.554633140563965,1.26279091835022,0.490968644618988,1.55167484283447,0.374465793371201,0.293933749198914,0.943062424659729,,71,,5.47200012207031,,,,5.54959417313337,5.39440607100725
Philippines,1.97260475158691,1.25391757488251,0.585214674472809,0.85769921541214,0.193513423204422,0.0993318930268288,0.468009054660797,,72,,5.42999982833862,,,,5.54533505424857,5.31466460242867
Serbia,1.94708442687988,1.25818979740143,0.208715528249741,1.06931757926941,0.220125883817673,0.0409037806093693,0.65078467130661,,73,,5.39499998092651,,,,5.49156965613365,5.29843030571938
Jordan,1.79117655754089,1.23908889293671,0.418421149253845,0.991012394428253,0.172170460224152,0.11980327218771,0.604590058326721,,74,,5.33599996566772,,,,5.44841002240777,5.22358990892768
Hungary,1.71645927429199,1.34313309192657,0.175863519310951,1.2860119342804,0.0784016624093056,0.0366369374096394,0.687763452529907,,75,,5.32399988174438,,,,5.40303970918059,5.24496005430818
Jamaica,1.61232566833496,1.36821806430817,0.474307239055634,0.925579309463501,0.233818337321281,0.0552677810192108,0.641022384166718,,76,,5.31099987030029,,,,5.58139872848988,5.04060101211071
Croatia,1.85449242591858,0.96798300743103,0.255772292613983,1.22255623340607,0.248002976179123,0.0431031100451946,0.701288521289825,,77,,5.29300022125244,,,,5.39177720457315,5.19422323793173
Kosovo,2.01054072380066,1.13785350322723,0.260287940502167,0.951484382152557,0.319931447505951,0.0574716180562973,0.541452050209045,,78,,5.27899980545044,,,,5.36484799548984,5.19315161541104
China,1.76493859291077,1.16083741188049,0.472787708044052,1.08116579055786,0.0288068410009146,0.0227942746132612,0.741415500640869,,79,,5.27299976348877,,,,5.31927808977663,5.2267214372009
Pakistan,2.79248929023743,0.672690689563751,0.23521526157856,0.72688353061676,0.315446019172668,0.124348066747189,0.402047783136368,,80,,5.26900005340576,,,,5.35998364135623,5.17801646545529
Indonesia,1.42947697639465,1.27444469928741,0.443323463201523,0.995538592338562,0.611704587936401,0.0153171354904771,0.492345720529556,,81,,5.26200008392334,,,,5.35288859814405,5.17111156970263
Venezuela,1.78946375846863,1.43133759498596,0.153997123241425,1.12843120098114,0.0650196298956871,0.0644911229610443,0.617144227027893,,82,,5.25,,,,5.3700319455564,5.1299680544436
Montenegro,1.72919154167175,1.23837649822235,0.194989055395126,1.12112903594971,0.197911024093628,0.0881741940975189,0.667464673519135,,83,,5.23699998855591,,,,5.34104444056749,5.13295553654432
Morocco,2.45618939399719,0.774864435195923,0.408158332109451,0.878114581108093,0.0322099551558495,0.0877631828188896,0.59771066904068,,84,,5.2350001335144,,,,5.31834096476436,5.15165930226445
Azerbaijan,1.76248168945312,1.15240025520325,0.398155838251114,1.15360176563263,0.0452693402767181,0.180987507104874,0.540775775909424,,85,,5.23400020599365,,,,5.29928653523326,5.16871387675405
Dominican Republic,1.31946516036987,1.40241670608521,0.55258983373642,1.07937383651733,0.186967849731445,0.113945253193378,0.574873745441437,,86,,5.23000001907349,,,,5.34906088516116,5.11093915298581
Greece,1.74922156333923,1.23941457271576,0.0957312509417534,1.28948748111725,0.0,0.04328977689147,0.810198903083801,,87,,5.22700023651123,,,,5.3252461694181,5.12875430360436
Lebanon,1.69507384300232,1.12962424755096,0.288515985012054,1.07498753070831,0.264450758695602,0.037513829767704,0.735081076622009,,88,,5.22499990463257,,,,5.31888228848577,5.13111752077937
Portugal,1.10768270492554,1.36704301834106,0.498465299606323,1.3151752948761,0.0951027125120163,0.0158694516867399,0.795843541622162,,89,,5.19500017166138,,,,5.28504173308611,5.10495861023665
Bosnia and Herzegovina,1.89217257499695,1.0693359375,0.204403176903725,0.982409417629242,0.328867495059967,0.0,0.705186307430267,,90,,5.18200016021729,,,,5.27633568674326,5.08766463369131
Honduras,2.06581115722656,1.14394497871399,0.348079860210419,0.730573117733002,0.236188873648643,0.0733454525470734,0.582569479942322,,91,,5.18100023269653,,,,5.30158279687166,5.0604176685214
Macedonia,1.6174693107605,1.20789301395416,0.325905978679657,1.06457793712616,0.25376096367836,0.0602777935564518,0.644948184490204,,92,,5.17500019073486,,,,5.27217263966799,5.07782774180174
Somalia,3.11748456954956,0.721151351928711,0.602126955986023,0.0226431842893362,0.291631311178207,0.282410323619843,0.113989137113094,,93,,5.15100002288818,,,,5.24248370990157,5.0595163358748
Vietnam,1.46231865882874,1.27749133110046,0.571055591106415,0.788547575473785,0.234968051314354,0.0876332372426987,0.652168989181519,,94,,5.07399988174438,,,,5.14728076457977,5.000718998909
Nigeria,2.36539053916931,1.21577048301697,0.394952565431595,0.783756256103516,0.230947196483612,0.0261215660721064,0.0569157302379608,,95,,5.07399988174438,,,,5.20950013548136,4.93849962800741
Tajikistan,1.84904932975769,1.27146327495575,0.471566706895828,0.524713635444641,0.248997643589973,0.146377146244049,0.529235124588013,,96,,5.04099988937378,,,,5.11142559587956,4.970574182868
Bhutan,1.14018440246582,1.34012651443481,0.501537680625916,0.885416388511658,0.474054545164108,0.173380389809608,0.495879292488098,,97,,5.01100015640259,,,,5.07933456212282,4.94266575068235
Kyrgyzstan,1.53672313690186,1.39423859119415,0.454943388700485,0.596220076084137,0.42858037352562,0.0394391790032387,0.553457796573639,,98,,5.00400018692017,,,,5.08991990312934,4.91808047071099
Nepal,1.8912410736084,1.17928326129913,0.440305948257446,0.479820191860199,0.394096165895462,0.0729755461215973,0.504130780696869,,99,,4.96199989318848,,,,5.06735607936978,4.85664370700717
Mongolia,1.11129236221313,1.4930112361908,0.394143968820572,1.02723586559296,0.338464230298996,0.0329022891819477,0.557783484458923,,100,,4.95499992370605,,,,5.0216795091331,4.88832033827901
South Africa,1.51090860366821,1.38478863239288,0.479246735572815,1.05469870567322,0.139362379908562,0.0725094974040985,0.187080070376396,,101,,4.8289999961853,,,,4.92943518772721,4.72856480464339
Tunisia,1.89025115966797,0.868351459503174,0.289680689573288,1.00726580619812,0.0496933571994305,0.0867231488227844,0.613212049007416,,102,,4.80499982833862,,,,4.88436700701714,4.72563264966011
Palestinian Territories,1.8788902759552,1.15564715862274,0.25471106171608,0.716249227523804,0.114173173904419,0.0892826020717621,0.565666973590851,,103,,4.77500009536743,,,,4.88184834256768,4.66815184816718
Egypt,1.70216107368469,0.997471392154694,0.282110154628754,0.989701807498932,0.128631442785263,0.114381365478039,0.520187258720398,,104,,4.7350001335144,,,,4.82513378962874,4.64486647740006
Bulgaria,0.996139287948608,1.43437945842743,0.289231717586517,1.1614590883255,0.113177694380283,0.0110515309497714,0.708217680454254,,105,,4.71400022506714,,,,4.80369470641017,4.62430574372411
Sierra Leone,2.66845989227295,0.984136044979095,0.318697690963745,0.36842092871666,0.293040901422501,0.0710951760411263,0.0055647538974881,,106,,4.70900011062622,,,,4.85064333498478,4.56735688626766
Cameroon,2.3336455821991,0.946018218994141,0.430388748645782,0.564305365085602,0.236298456788063,0.0513066314160824,0.132892116904259,,107,,4.69500017166138,,,,4.79654085725546,4.5934594860673
Iran,1.49873495101929,0.711551249027252,0.249322608113289,1.15687310695648,0.387242913246155,0.048761073499918,0.639333188533783,,108,,4.69199991226196,,,,4.79822470769286,4.58577511683106
Albania,1.49044156074524,0.803685247898102,0.381498634815216,0.996192753314972,0.201312944293022,0.0398642159998417,0.731159746646881,,109,,4.64400005340576,,,,4.75246400639415,4.53553610041738
Bangladesh,1.97873616218567,0.735131740570068,0.478356659412384,0.586682975292206,0.172255352139473,0.123717859387398,0.533241033554077,,110,,4.60799980163574,,,,4.68982165828347,4.52617794498801
Namibia,1.4818902015686,1.0984708070755,0.520303547382355,0.964434325695038,0.0771337449550629,0.0931469723582268,0.33861181139946,,111,,4.57399988174438,,,,4.77035474091768,4.37764502257109
Kenya,1.6519021987915,1.06795072555542,0.452763766050339,0.560479462146759,0.444860309362411,0.0646413192152977,0.309988349676132,,112,,4.55299997329712,,,,4.65569159060717,4.45030835598707
Mozambique,2.35565090179443,0.870701014995575,0.480791091918945,0.234305649995804,0.322228103876114,0.179436385631561,0.106654435396194,,113,,4.55000019073486,,,,4.77410232633352,4.3258980551362
Myanmar,1.11529040336609,1.12323594093323,0.514492034912109,0.367110550403595,0.838075160980225,0.188816204667091,0.397522568702698,,114,,4.54500007629395,,,,4.61473994642496,4.47526020616293
Senegal,1.78964614868164,1.17969191074371,0.377922266721725,0.479309022426605,0.183468893170357,0.115460447967052,0.409362852573395,,115,,4.53499984741211,,,,4.6016037812829,4.46839591354132
Zambia,1.82670545578003,1.00318729877472,0.461603492498398,0.636406779289246,0.249580144882202,0.0782135501503944,0.257835894823074,,116,,4.51399993896484,,,,4.64410550147295,4.38389437645674
Iraq,1.31890726089478,0.978613197803497,0.288555532693863,1.10271048545837,0.19963726401329,0.107215754687786,0.501180469989777,,117,,4.49700021743774,,,,4.62259140968323,4.37140902519226
Gabon,1.32291626930237,1.1556202173233,0.312328577041626,1.1982102394104,0.0437853783369064,0.0760467872023582,0.356578588485718,,118,,4.46500015258789,,,,4.5573617656529,4.37263853952289
Ethiopia,2.01574373245239,0.86466920375824,0.408842742443085,0.339233845472336,0.312650740146637,0.165455713868141,0.353409707546234,,119,,4.46000003814697,,,,4.54272867664695,4.377271399647
Sri Lanka,0.419389247894287,1.25997638702393,0.561213254928589,1.00985014438629,0.490863561630249,0.0736539661884308,0.625130832195282,,120,,4.44000005722046,,,,4.55344719231129,4.32655292212963
Armenia,1.5214991569519,1.00748372077942,0.198303267359734,0.900596737861633,0.0834880918264389,0.0266744215041399,0.637524425983429,,121,,4.37599992752075,,,,4.46673461228609,4.28526524275541
